dip_F0,dip_F1,dip_F2,dip_entropy,dip_weibull_k,dip_weibull_theta
6530,62769,460910229,0.3702192662543879,0.0268263394659652,1.5946412153803568e-43
6848,71234,516098870,0.3682985819672507,0.0268263394659652,1.5946412153803568e-43
6789,72408,568588350,0.3519714555923973,0.0268263394659652,1.5946412153803568e-43
6666,77668,653706194,0.335773375454754,0.0268263394659652,1.5946412153803568e-43
6447,85643,665039051,0.3348270537925585,0.0268263394659652,1.5946412153803568e-43
6676,80920,623999168,0.3419584636734918,0.0268263394659652,1.5946412153803568e-43
6628,81836,621637352,0.3453925179939391,0.0268263394659652,1.5946412153803568e-43
6815,74777,568400347,0.3499994156503931,0.0268263394659652,1.5946412153803568e-43
6733,74902,571053048,0.3541242356160672,0.0268263394659652,1.5946412153803568e-43
6599,76297,595405739,0.3452288485609862,0.0268263394659652,1.5946412153803568e-43
6566,75508,649782146,0.3327795627774492,0.0268263394659652,1.5946412153803568e-43
6571,77621,414637235,0.3671172138562557,0.0268263394659652,1.5946412153803568e-43
6569,72681,458022503,0.367203952292898,0.0268263394659652,1.5946412153803568e-43
6569,66208,448403112,0.3704452773341191,0.0268263394659652,1.5946412153803568e-43
12202,74023,469371605,0.4225603826412863,0.0268263394659652,1.5946412153803568e-43
17780,74086,517569518,0.4675195768246054,0.0268263394659652,1.5946412153803568e-43
17070,77085,518256667,0.4604597756254916,0.0268263394659652,1.5946412153803568e-43
17460,74543,428721951,0.477902679523655,0.0268263394659652,1.5946412153803568e-43
17571,75416,514604020,0.4690327454033964,0.0268263394659652,1.5946412153803568e-43
17859,74859,510808789,0.4703241079478874,0.0268263394659652,1.5946412153803568e-43
11032,66036,513157388,0.4107602874880863,0.0268263394659652,1.5946412153803568e-43
6861,73582,529206466,0.3710358939449704,0.0268263394659652,1.5946412153803568e-43
6897,76807,557202813,0.356723444839769,0.0268263394659652,1.5946412153803568e-43
6772,71086,538938264,0.3601118416068997,0.0268263394659652,1.5946412153803568e-43
6943,76368,555996034,0.3532392859122329,0.0268263394659652,1.5946412153803568e-43
6900,69118,532161844,0.360209186350335,0.0268263394659652,1.5946412153803568e-43
6819,66107,516114119,0.3643781003691302,0.0268263394659652,1.5946412153803568e-43
6715,66234,450073012,0.3725639714440555,0.0268263394659652,1.5946412153803568e-43
6931,72055,525652935,0.369806555858538,0.0268263394659652,1.5946412153803568e-43
6721,73017,540536101,0.3621272600832151,0.0268263394659652,1.5946412153803568e-43
6956,83809,589909409,0.3613064902414812,0.0268263394659652,1.5946412153803568e-43
6798,82844,571800720,0.364447283263639,0.0268263394659652,1.5946412153803568e-43
6877,80026,557793520,0.3608405524760182,0.0268263394659652,1.5946412153803568e-43
6876,75528,578120196,0.3547931606093027,0.0268263394659652,1.5946412153803568e-43
6945,78552,577730660,0.3615857650630938,0.0268263394659652,1.5946412153803568e-43
6548,69122,523018864,0.3652651735301418,0.0268263394659652,1.5946412153803568e-43
6741,65072,509721168,0.3687731594621357,0.0268263394659652,1.5946412153803568e-43
6824,63403,505898121,0.3705340221709621,0.0268263394659652,1.5946412153803568e-43
6683,66460,520499482,0.3668300059749699,0.0268263394659652,1.5946412153803568e-43
6775,71519,522925223,0.3684732859466125,0.0268263394659652,1.5946412153803568e-43
6674,70523,469230929,0.3734106263764249,0.0268263394659652,1.5946412153803568e-43
6757,73950,470509554,0.3660891754902339,0.0268263394659652,1.5946412153803568e-43
6832,68682,451076294,0.3744351127594437,0.0268263394659652,1.5946412153803568e-43
6974,61363,432456415,0.3725277014544731,0.0268263394659652,1.5946412153803568e-43
6907,61639,427904555,0.3790222948888935,0.0268263394659652,1.5946412153803568e-43
6952,58921,441686009,0.3754489028758012,0.0268263394659652,1.5946412153803568e-43
6664,73339,586872601,0.3396854616362792,0.0268263394659652,1.5946412153803568e-43
7002,69335,465423901,0.3661715438161555,0.0268263394659652,1.5946412153803568e-43
6776,58215,426095817,0.3704759816207089,0.0268263394659652,1.5946412153803568e-43
7879,59009,425095181,0.3875206727020671,0.0268263394659652,1.5946412153803568e-43
8053,64050,429094396,0.3906127673687891,0.0268263394659652,1.5946412153803568e-43
7849,72510,472994176,0.3796928086907421,0.0268263394659652,1.5946412153803568e-43
7981,65473,439849811,0.3832053997600455,0.0268263394659652,1.5946412153803568e-43
8459,62562,432986920,0.3873520662276416,0.0268263394659652,1.5946412153803568e-43
9158,69430,491157194,0.3895312478643306,0.0268263394659652,1.5946412153803568e-43
9200,66706,503593038,0.3885742766875242,0.0268263394659652,1.5946412153803568e-43
8529,73163,544333739,0.3738247664565316,0.0268263394659652,1.5946412153803568e-43
8435,74308,550585130,0.3693502334937933,0.0268263394659652,1.5946412153803568e-43
7773,65759,379097723,0.382239819311693,0.0268263394659652,1.5946412153803568e-43
7366,72228,567246714,0.3482384015609486,0.0268263394659652,1.5946412153803568e-43
8418,74125,557453849,0.3698610903091365,0.0268263394659652,1.5946412153803568e-43
9088,69216,513865960,0.3840071066943042,0.0268263394659652,1.5946412153803568e-43
8902,77343,559435369,0.3747389281423148,0.0268263394659652,1.5946412153803568e-43
8480,70976,520874378,0.3799229008905814,0.0268263394659652,1.5946412153803568e-43
8492,70809,509173957,0.3823968142655326,0.0268263394659652,1.5946412153803568e-43
9216,71914,568756434,0.3703424241043176,0.0268263394659652,1.5946412153803568e-43
8798,80636,608370854,0.3619346726857778,0.0268263394659652,1.5946412153803568e-43
8739,94400,776059292,0.3410128526482039,0.0268263394659652,1.5946412153803568e-43
8903,75720,522639582,0.382262348023992,0.0268263394659652,1.5946412153803568e-43
10057,77946,537492244,0.3936682423196397,0.0268263394659652,1.5946412153803568e-43
10466,75957,528506423,0.40087649371271,0.0268263394659652,1.5946412153803568e-43
10495,77651,536005197,0.3955973139533182,0.0268263394659652,1.5946412153803568e-43
10404,78357,537369359,0.3984343766028784,0.0268263394659652,1.5946412153803568e-43
10368,77877,522327171,0.3977884373532244,0.0268263394659652,1.5946412153803568e-43
10081,80483,543934467,0.3946801896071831,0.0268263394659652,1.5946412153803568e-43
9907,81375,595629991,0.3820265081678066,0.0268263394659652,1.5946412153803568e-43
9495,78234,578067552,0.3736655701325765,0.0268263394659652,1.5946412153803568e-43
